Player Name,Player ID,NAME,COUNTRY,Full name,Playing role,Batting style,Bowling style
Mohammed Rizlan,492679,Mohammed Rizlan,Qatar,Mohammed Rizlan,nan,Right-hand bat,nan
RS Morton,52445,Runako Morton,West Indies,Runako Shakur Morton,Batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak"
CM Old,18256,Chris Old,England,Christopher Middleton Old,nan,Left-hand bat,Right-arm fast-medium
JS Patel,38141,Jeetan Patel,New Zealand,Jeetan Shashi Patel,nan,Right-hand bat,Right-arm offbreak
C Pringle,38133,Chris Pringle,New Zealand,Christopher Pringle,nan,Right-hand bat,Right-arm fast-medium
LN Rajbanshi,913853,Lalit Rajbanshi,Nepal,Lalit Narayan Rajbanshi,Top-order batsman,Right-hand bat,Slow left-arm orthodox
Anamul Haque,380354,Anamul Haque,Bangladesh,Mohammad Anamul Haque Bijoy,Wicketkeeper batsman,Right-hand bat,nan
BS Bedi,26875,Bishan Bedi,India,Bishan Singh Bedi,nan,Right-hand bat,Slow left-arm orthodox
GB Brent,55269,Gary Brent,Zimbabwe,Gary Bazil Brent,nan,Right-hand bat,Right-arm medium
GR Dilley,11893,Graham Dilley,England,Graham Roy Dilley,nan,Left-hand bat,Right-arm fast
AC Evans,399259,Alasdair Evans,Scotland,Alasdair Campbell Evans,Bowler,Right-hand bat,Right-arm medium-fast
Fayyaz Butt,436749,Fayyaz Butt,Oman,Ahmad Fayyaz Butt,nan,Right-hand bat,Right-arm medium-fast
NA Foster,12879,Neil Foster,England,Neil Alan Foster,nan,Right-hand bat,Right-arm fast-medium
AM Kimote,470752,Ally Kimote,Tanzania,Ally Mpeka Kimote,nan,Right-hand bat,Right-arm medium
MJ McClenaghan,319439,Mitchell McClenaghan,New Zealand,Mitchell John McClenaghan,Bowler,Left-hand bat,Left-arm fast-medium
Naeem Islam,56054,Naeem Islam,Bangladesh,Mohammed Naeem Islam,Allrounder,Right-hand bat,Right-arm offbreak
MS Panesar,18655,Monty Panesar,England,Mudhsuden Singh Panesar,Bowler,Left-hand bat,Slow left-arm orthodox
Riazat Ali Shah,1129565,Riazat Ali Shah,Uganda,Riazat Ali Shah,nan,Right-hand bat,Right-arm medium
R Sandaruwan,429809,Ravija Sandaruwan,Kuwait,Bodadura Ravija Sandaruwan de Silva,Allrounder,Right-hand bat,Right-arm offbreak
Tapash Baisya,56176,Tapash Baisya,Bangladesh,Tapash Kumar Baisya,nan,Right-hand bat,Right-arm fast-medium
H Thaker,914503,Harsh Thaker,Canada,Harsh Thaker,nan,Right-hand bat,Right-arm offbreak
DT Tiripano,392945,Donald Tiripano,Zimbabwe,Donald Tatenda Tiripano,Bowler,Right-hand bat,Right-arm fast-medium
AC Agar,505120,Ashton Agar,Australia,Ashton Charles Agar,Bowler,Left-hand bat,Slow left-arm orthodox
MG Burgess,36314,Mark Burgess,New Zealand,Mark Gordon Burgess,nan,Right-hand bat,Right-arm offbreak
T Lungameni,524075,Tangeni Lungameni,Namibia,Tangeni Lungameni,Bowler,Left-hand bat,Left-arm medium
PHKD Mendis,784373,Kamindu Mendis,Sri Lanka,Pasqual Handi Kamindu Dilanka Mendis,Allrounder,Left-hand bat,"Right-arm offbreak, Slow left-arm orthodox"
Mohammad Saifuddin,629070,Mohammad Saifuddin,Bangladesh,Mohammad Saifuddin,Bowling allrounder,Left-hand bat,Right-arm medium-fast
Noor Ali Zadran,318340,Noor Ali Zadran,Afghanistan,Noor Ali Zadran,Opening batsman,Right-hand bat,Right-arm medium-fast
W Watson,38742,Willie Watson,New Zealand,William Watson,nan,Right-hand bat,Right-arm fast-medium
Aayan Afzal Khan,1241265,,,,,,
MNM Aslam,359649,Mohomad Aslam,Sri Lanka,Mohommed Nowfer Mohomad Aslam,Wicketkeeper batsman,Right-hand bat,Left-arm slow
XJ Doherty,5017,Xavier Doherty,Australia,Xavier John Doherty,Bowler,Left-hand bat,Slow left-arm orthodox
RM Haq,25451,Majid Haq,Scotland,Rana Majid Haq Khan,Bowler,Left-hand bat,Right-arm offbreak
Haris Sohail,318788,Haris Sohail,Pakistan,Haris Sohail,Middle-order batsman,Left-hand bat,Slow left-arm orthodox
K Irakoze,1273409,,,,,,
Jasdeep Singh,772471,Jessy Singh,United States of America,Jasdeep Singh,nan,Right-hand bat,Right-arm medium
Khawar Ali,585081,Khawar Ali,Oman,Khawar Ali,Opening batsman,Right-hand bat,Legbreak
TJ Murtagh,17134,Tim Murtagh,Ireland,Timothy James Murtagh,Bowler,Left-hand bat,Right-arm fast-medium
K Nassoro,296166,Kassim Nassoro,Tanzania,Kassim Nassoro Mussa,nan,Right-hand bat,Right-arm offbreak
WB Phillips,7115,Wayne Phillips,Australia,Wayne Bentley Phillips,nan,Left-hand bat,nan
SI Runsewe,1089932,Sulaimon Runsewe,Nigeria,Sulaimon Iyiola Runsewe,nan,Right-hand bat,Right-arm offbreak
BC Strang,55756,Bryan Strang,Zimbabwe,Bryan Colin Strang,nan,Right-hand bat,Left-arm medium
SA Thomson,38613,Shane Thomson,New Zealand,Shane Alexander Thomson,nan,Right-hand bat,"Right-arm slow-medium, Right-arm offbreak"
Vikramjit Singh,1153767,Vikramjit Singh,Netherlands,Vikramjit Singh,nan,Left-hand bat,Right-arm medium-fast
Yasir Shah,43685,Yasir Shah,Pakistan,Yasir Shah,Bowler,Right-hand bat,Legbreak googly
FH Allen,959759,Finn Allen,New Zealand,Finnley Hugh Allen,Wicketkeeper batsman,Right-hand bat,nan
IKEG Artawan,1338587,,,,,,
BJ Bennett,1071484,Brian Bennet,Zimbabwe,Brian Bennet,nan,Right-hand bat,Right-arm offbreak
AM Blignaut,55259,Andy Blignaut,Zimbabwe,Arnoldus Mauritius Blignaut,nan,Left-hand bat,Right-arm medium-fast
ALF de Mel,48447,Ashantha de Mel,Sri Lanka,Ashantha Lakdasa Francis de Mel,nan,Right-hand bat,Right-arm medium-fast
SB Doull,36835,Simon Doull,New Zealand,Simon Blair Doull,nan,Right-hand bat,Right-arm medium
M Jansen,696401,Marco Jansen,South Africa,Marco Jansen,nan,Right-hand bat,Left-arm fast
CR Matthews,46189,Craig Matthews,South Africa,Craig Russell Matthews,nan,Right-hand bat,Right-arm fast-medium
LN Oluoch,440162,Lucas Oluoch,Kenya,Lucas Oluoch Ndandason,Bowler,Right-hand bat,Left-arm fast-medium
SM Patil,32283,Sandeep Patil,India,Sandeep Madhusudan Patil,nan,Right-hand bat,Right-arm medium
DR Pringle,18627,Derek Pringle,England,Derek Raymond Pringle,nan,Right-hand bat,Right-arm medium
GM Ritchie,7358,Greg Ritchie,Australia,Gregory Michael Ritchie,nan,Right-hand bat,Right-arm medium
SMSM Senanayake,273439,Sachithra Senanayake,Sri Lanka,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,Bowler,Right-hand bat,Right-arm offbreak
Abdul Majid,710767,Abdul Majid,Pakistan,Abdul Majid,nan,Left-hand bat,Slow left-arm orthodox
Meet Bhavsar,1167770,Meet Bhavsar,Kuwait,Meet Bhavsar,nan,Left-hand bat,nan
IJ Harvey,5597,Ian Harvey,Australia,Ian Joseph Harvey,Allrounder,Right-hand bat,Right-arm medium
IA Karim,348016,Irfan Karim,Kenya,Irfan Ali Karim,Middle-order batsman,Left-hand bat,Right-arm offbreak
JP Kotze,541991,JP Kotze,Namibia,Jean-Pierre Kotze,Batsman,Left-hand bat,nan
Tanzid Hasan,990023,Tanzid Hasan,Bangladesh,Tanzid Hasan Tamim,Opening batsman,Left-hand bat,nan
K Waiswa,928109,Kenneth Waiswa,Uganda,Kenneth Waiswa,Allrounder,Right-hand bat,Right-arm medium
AR Whittall,55846,Andy Whittall,Zimbabwe,Andrew Richard Whittall,nan,Right-hand bat,Right-arm offbreak
SR Clark,4582,Stuart Clark,Australia,Stuart Rupert Clark,Bowler,Right-hand bat,Right-arm fast-medium
BE Congdon,36611,Bevan Congdon,New Zealand,Bevan Ernest Congdon,nan,Right-hand bat,Right-arm medium
TH David,892749,Tim David,Australia,Timothy Hays David,nan,Right-hand bat,Right-arm medium
MA Ealham,12466,Mark Ealham,England,Mark Alan Ealham,nan,Right-hand bat,Right-arm medium-fast
C Karunaratne,623695,Chamika Karunaratne,Sri Lanka,Chamika Karunaratne,Bowler,Right-hand bat,Right-arm medium-fast
Mohammad Asif,41411,Mohammad Asif,Pakistan,Mohammad Asif,Bowler,Left-hand bat,Right-arm fast-medium
Muhammad Tanveer,1093669,Muhammad Tanveer,Qatar,Muhammad Tanveer,nan,Right-hand bat,Right-arm medium
F Nsubuga,26139,Frank Nsubuga,Uganda,Franco Nsubuga,nan,Right-hand bat,Right-arm offbreak
NM Odhiambo,308418,Nelson Odhiambo,Kenya,Nelson Mandela Odhiambo,Bowler,Right-hand bat,Right-arm medium-fast
Shaiman Anwar,43121,Shaiman Anwar,United Arab Emirates,Shaiman Anwar Butt,Top-order batsman,Right-hand bat,Legbreak googly
Shan Masood,233901,Shan Masood,Pakistan,Shan Masood Khan,Opening batsman,Left-hand bat,Right-arm medium-fast
S Venkataraghavan,35656,Srinivas Venkataraghavan,India,Srinivasaraghavan Venkataraghavan,nan,Right-hand bat,Right-arm offbreak
A Bagai,23797,Ashish Bagai,Canada,Ashish Bagai,Wicketkeeper batsman,Right-hand bat,nan
CS Baugh,51446,Carlton Baugh,West Indies,Carlton Seymour Baugh,Wicketkeeper,Right-hand bat,Legbreak googly
MA Butcher,9327,Mark Butcher,England,Mark Alan Butcher,nan,Left-hand bat,Right-arm medium
BN Cooper,470699,Ben Cooper,Netherlands,Benjamin Nicolas Cooper,Middle-order batsman,Left-hand bat,Right-arm medium
RDB Croft,10881,Robert Croft,England,Robert Damien Bale Croft,nan,Right-hand bat,Right-arm offbreak
RC Fredericks,51797,Roy Fredericks,West Indies,Roy Clifton Fredericks,nan,Left-hand bat,Slow left-arm chinaman
C Kieswetter,230855,Craig Kieswetter,England,Craig Kieswetter,Opening batsman,Right-hand bat,Right-arm offbreak
TBA May,6534,Tim May,Australia,Timothy Brian Alexander May,nan,Right-hand bat,Right-arm offbreak
Mirwais Ashraf,387420,Mirwais Ashraf,Afghanistan,Mirwais Ashraf,Bowler,Right-hand bat,Right-arm fast-medium
R Mutumbami,235516,Richmond Mutumbami,Zimbabwe,Richmond Mutumbami,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak
IR Redpath,7314,Ian Redpath,Australia,Ian Ritchie Redpath,nan,Right-hand bat,Right-arm medium
Mohammad Naveed,533862,Mohammad Naveed,United Arab Emirates,Mohammad Naveed,Bowler,Right-hand bat,Right-arm medium
CAK Rajitha,499594,Kasun Rajitha,Sri Lanka,Chandrasekara Arachchilage Kasun Rajitha,Bowler,Right-hand bat,Right-arm medium-fast
MR Ramprakash,19323,Mark Ramprakash,England,Mark Ravin Ramprakash,nan,Right-hand bat,Right-arm offbreak
Shafiqullah,362603,Shafiqullah,Afghanistan,Shafiqullah Shafiq,Wicketkeeper batsman,Right-hand bat,nan
GC Small,20217,Gladstone Small,England,Gladstone Cleophas Small,nan,Right-hand bat,Right-arm fast-medium
CM Spearman,38401,Craig Spearman,New Zealand,Craig Murray Spearman,Opening batsman,Right-hand bat,nan
JB Statham,20341,Brian Statham,England,John Brian Statham,nan,Left-hand bat,Right-arm fast-medium
T Stubbs,595978,Tristan Stubbs,South Africa,Tristan Stubbs,nan,Right-hand bat,Legbreak
M van Lingen,833777,Michael van Lingen,South Africa,Michael van Lingen,nan,Left-hand bat,nan
S Vijay Unni,1090866,Vijay Unni,Malaysia,Suresh Vijay Unni,nan,Right-hand bat,Right-arm offbreak
Aamir Kaleem,455463,Aamir Kaleem,Oman,Syed Aamir Kaleem,Middle-order batsman,Left-hand bat,Slow left-arm orthodox
PR Adams,43919,Paul Adams,South Africa,Paul Regan Adams,Bowler,Right-hand bat,Slow left-arm chinaman
Basit Ali,39954,Basit Ali,Pakistan,Basit Ali,nan,Right-hand bat,Right-arm offbreak
DAJ Bracewell,362541,Doug Bracewell,New Zealand,Douglas Andrew John Bracewell,Bowler,Right-hand bat,Right-arm fast-medium
EA Brandes,55267,Eddo Brandes,Zimbabwe,Eddo André Brandes,nan,Right-hand bat,Right-arm fast-medium
DG Cork,10816,Dominic Cork,England,Dominic Gerald Cork,nan,Right-hand bat,Right-arm fast-medium
Z Crawley,665053,Zak Crawley,England,Zak Crawley,nan,Right-hand bat,Right-arm medium
RD King,52294,Reon King,West Indies,Reon Dane King,nan,Right-hand bat,Right-arm fast-medium
CH Morris,439952,Chris Morris,South Africa,Christopher Henry Morris,Bowling allrounder,Right-hand bat,Right-arm fast-medium
J Mubarak,49633,Jehan Mubarak,Sri Lanka,Jehan Mubarak,nan,Left-hand bat,Right-arm offbreak
AD Mullally,17121,Alan Mullally,England,Alan David Mullally,nan,Right-hand bat,Left-arm fast-medium
Nasum Ahmed,348049,Nasum Ahmed,Bangladesh,Nasum Ahmed,nan,Left-hand bat,Slow left-arm orthodox
Raqibul Hasan,56093,Raqibul Hasan,Bangladesh,Mohammad Raqibul Hasan,Batsman,Right-hand bat,Legbreak
Rishad Hossain,1139523,Rishad Hossain,Bangladesh,Mohammad Rishad Hossain,nan,Right-hand bat,Legbreak googly
Sandeep Goud,1174024,Sandeep Goud,Oman,Sandeep Goud,Allrounder,Right-hand bat,Right-arm medium
D Wiese,221140,David Wiese,South Africa,David Wiese,Allrounder,Right-hand bat,Right-arm medium-fast
GN Yallop,8448,Graham Yallop,Australia,Graham Neil Yallop,nan,Left-hand bat,Left-arm medium
Amir Hamza,402245,Amir Hamza,Afghanistan,Amir Hamza Hotak,Bowler,Right-hand bat,Slow left-arm orthodox
DL Amiss,8535,Dennis Amiss,England,Dennis Leslie Amiss,nan,Right-hand bat,nan
Asif Iqbal,39010,Asif Iqbal,Pakistan,Asif Iqbal Razvi,nan,Right-hand bat,Right-arm medium
SW Billings,297628,Sam Billings,England,Samuel William Billings,Wicketkeeper batsman,Right-hand bat,nan
IDR Bradshaw,51246,Ian Bradshaw,West Indies,Ian David Russell Bradshaw,Bowler,Left-hand bat,Left-arm fast-medium
Chirag Suri,534734,Chirag Suri,United Arab Emirates,Chirag Suri,Opening batsman,Right-hand bat,Right-arm offbreak
IK Gamantika,1082742,Kadek Gamantika,Indonesia,I Kadek Gamantika,nan,Right-hand bat,nan
Kaleem Sana,385938,Kaleem Sana,Pakistan,Kaleem Sana Rehman,nan,Right-hand bat,Left-arm medium-fast
RM Koda,1116759,Maxi Koda,Indonesia,Rojerio Maxi Koda,nan,Right-hand bat,Right-arm medium-fast
WM Lawry,6270,Bill Lawry,Australia,William Morris Lawry,nan,Left-hand bat,Left-arm medium
R McLaren,46393,Ryan McLaren,South Africa,Ryan McLaren,Allrounder,Left-hand bat,Right-arm medium-fast
A Mishra,31107,Amit Mishra,India,Amit Mishra,Bowler,Right-hand bat,Legbreak
PL Mommsen,461281,Preston Mommsen,Scotland,Preston Luke Mommsen,Opening batsman,Right-hand bat,Right-arm offbreak
Nasir Jamshed,42321,Nasir Jamshed,Pakistan,Nasir Jamshed,Opening batsman,Left-hand bat,nan
MK Pandey,290630,Manish Pandey,India,Manish Krishnanand Pandey,Top-order batsman,Right-hand bat,Right-arm medium
E Rukiriza,1280671,,,,,,
AO Suji,24723,Tony Suji,Kenya,Otieno Suji Ondik,nan,Right-hand bat,Right-arm medium
Yasim Murtaza,233904,Yasim Murtaza,Pakistan,Yasim Murtaza,nan,Left-hand bat,Slow left-arm orthodox
Zubaidi Zulkifle,913847,Zubaidi Zulkifle,Malaysia,Ahmad Zubaidi Zulkifle,nan,Right-hand bat,Right-arm medium
Arshad Khan,39005,Arshad Khan,Pakistan,Arshad Khan,nan,Right-hand bat,Right-arm offbreak
DA Gunawardene,49010,Avishka Gunawardene,Sri Lanka,Dihan Avishka Gunawardene,nan,Left-hand bat,nan
Mushtaq Mohammad,41318,Mushtaq Mohammad,Pakistan,Mushtaq Mohammad,nan,Right-hand bat,Legbreak googly
SJ Myburgh,233712,Stephan Myburgh,Netherlands,Stephanus Johannes Myburgh,Opening batsman,Left-hand bat,Right-arm offbreak
AT Nidamanuru,1129328,Teja Nidamanuru,New Zealand,Anil Teja Nidamanuru,nan,Right-hand bat,Right-arm offbreak
AR Nurse,315594,Ashley Nurse,West Indies,Ashley Renaldo Nurse,Bowler,Right-hand bat,Right-arm offbreak
Rajin Saleh,56074,Rajin Saleh,Bangladesh,Khondokar Mohammad Rajin Saleh Alam,nan,Right-hand bat,Right-arm offbreak
SV Samson,425943,Sanju Samson,India,Sanju Viswanath Samson,Wicketkeeper batsman,Right-hand bat,nan
Sohail Ahmed,964521,Sohail Ahmed,Pakistan,Sohail Ahmed,nan,Right-hand bat,nan
FS Trueman,21600,Fred Trueman,England,Frederick Sewards Trueman,nan,Right-hand bat,Right-arm fast
Ainool Hafizs,701227,Ainool Hafizs,Malaysia,Ainool Hafizs Yatim,nan,Right-hand bat,Right-arm medium
CO Browne,51232,Courtney Browne,West Indies,Courtney Oswald Browne,Wicketkeeper batsman,Right-hand bat,nan
Jaker Ali,824541,Jaker Ali,Bangladesh,Jaker Ali Anik,nan,Right-hand bat,nan
SA Jumbe,723573,Salum Jumbe,Tanzania,Salum Jumbe,nan,Left-hand bat,Right-arm medium-fast
CJ McKay,6903,Clint McKay,Australia,Clinton James McKay,Bowler,Right-hand bat,Right-arm fast-medium
PBH May,16956,Peter May,England,Peter Barker Howard May,nan,Right-hand bat,nan
SE Rutherford,914541,Sherfane Rutherford,West Indies,Sherfane Eviston Rutherford,Top-order batsman,Left-hand bat,Right-arm fast-medium
Sami Sohail,1163154,Sami Sohail,Malawi,Sami Muhammad Sohail,nan,nan,nan
Syed Rasel,56160,Syed Rasel,Bangladesh,Syed Rasel,nan,Left-hand bat,Left-arm medium-fast
Taufeeq Umar,43363,Taufeeq Umar,Pakistan,Taufeeq Umar,nan,Left-hand bat,Right-arm offbreak
VP Thamotharam,1233044,,,,,,
Ali Dawood,593296,Ali Dawood,Pakistan,Ali Dawood,nan,Right-hand bat,Right-arm medium
TLW Cooper,219885,Tom Cooper,Australia,Tom Lexley William Cooper,Middle-order batsman,Right-hand bat,Right-arm offbreak
CN Greaves,873199,Chris Greaves,Scotland,Christopher Nicholas Greaves,nan,Right-hand bat,Legbreak
Hasan Mahmud,926629,Hasan Mahmud,Bangladesh,Hasan Mahmud,Bowler,Right-hand bat,Right-arm medium
DT Hondo,55509,Douglas Hondo,Zimbabwe,Douglas Tafadzwa Hondo,nan,Right-hand bat,Right-arm fast-medium
JM How,37265,Jamie How,New Zealand,Jamie Michael How,Top-order batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak"
Iftikhar Anjum,40591,Iftikhar Anjum,Pakistan,Rao Iftikhar Anjum,nan,Right-hand bat,Right-arm medium
Iqbal Qasim,40572,Iqbal Qasim,Pakistan,Mohammad Iqbal Qasim,nan,Left-hand bat,Slow left-arm orthodox
PWA Mulder,698189,Wiaan Mulder,South Africa,Pieter Willem Adriaan Mulder,Allrounder,Right-hand bat,Right-arm medium
PA Patel,32242,Parthiv Patel,India,Parthiv Ajay Patel,Wicketkeeper batsman,Left-hand bat,nan
AR Ramjani,1178061,Munir Ismail,Uganda,Munir Ismail,nan,nan,nan
RR Rossouw,318845,Rilee Rossouw,South Africa,Rilee Roscoe Rossouw,Top-order batsman,Left-hand bat,Right-arm offbreak
E Sebareme,807509,Emmanuel Sebareme,South Africa,Emmanuel Sebareme,nan,Right-hand bat,Right-arm offbreak
RJ Sidebottom,20187,Ryan Sidebottom,England,Ryan Jay Sidebottom,nan,Left-hand bat,Left-arm fast-medium
RJW Topley,461632,Reece Topley,England,Reece James William Topley,Bowler,Right-hand bat,Left-arm medium-fast
Zeeshan Ali,386302,Zeeshan Ali,Pakistan,Zeeshan Ali,nan,Right-hand bat,nan
Anjar Tadarus,1082745,Anjar Tadarus,Indonesia,Muhammad Anjar Tadarus,nan,Right-hand bat,Right-arm medium-fast
TA Blundell,440516,Tom Blundell,New Zealand,Thomas Ackland Blundell,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak
A Bohara,1058508,Abinash Bohara,Nepal,Abinash Bohara,Bowler,Right-hand bat,Right-arm medium
JM Brearley,9208,Mike Brearley,England,John Michael Brearley,nan,Right-hand bat,Right-arm medium
JH Davey,407265,Josh Davey,Scotland,Joshua Henry Davey,Allrounder,Right-hand bat,Right-arm medium-fast
JW Dernbach,12461,Jade Dernbach,England,Jade Winston Dernbach,Bowler,Right-hand bat,Right-arm fast-medium
TJ Friend,55438,Travis Friend,Zimbabwe,Travis John Friend,nan,Right-hand bat,Right-arm fast-medium
R Illingworth,15385,Ray Illingworth,England,Raymond Illingworth,nan,Right-hand bat,Right-arm offbreak
HAPW Jayawardene,49236,Prasanna Jayawardene,Sri Lanka,Hewasandatchige Asiri Prasanna Wishvanath Jayawardene,nan,Right-hand bat,nan
NAM McLean,52430,Nixon McLean,West Indies,Nixon Alexei McNamara McLean,Bowler,Left-hand bat,Right-arm fast
XM Marshall,52626,Xavier Marshall,United States of America,Xavier Melbourne Marshall,Batsman,Right-hand bat,Right-arm offbreak
CG Rackemann,7302,Carl Rackemann,Australia,Carl Gray Rackemann,nan,Right-hand bat,Right-arm fast
II Selemani,1286455,,,,,,
KD Shah,401537,Kinchit Shah,Hong Kong,Kinchit Devang Shah,Wicketkeeper batsman,Left-hand bat,Right-arm offbreak
RB Simpson,7619,Bob Simpson,Australia,Robert Baddeley Simpson,nan,Right-hand bat,Legbreak googly
MA Suji,24725,Martin Suji,Kenya,Martin Armon Suji,nan,Right-hand bat,Right-arm medium-fast
SR Thompson,414821,Stuart Thompson,Ireland,Stuart Robert Thompson,Bowler,Left-hand bat,Right-arm medium-fast
JC Tredwell,21646,James Tredwell,England,James Cullum Tredwell,Allrounder,Left-hand bat,Right-arm offbreak
LV van Beek,440522,Logan van Beek,Netherlands,Logan Verjus van Beek,Bowler,Right-hand bat,Right-arm medium-fast
T van der Gugten,333782,Timm van der Gugten,Australia,Timm van der Gugten,Bowler,Right-hand bat,Right-arm fast-medium
Vraj Patel,1178080,Vraj Patel,Kenya,Vraj Patel,nan,nan,nan
N Wagner,233713,Neil Wagner,New Zealand,Neil Wagner,Bowler,Left-hand bat,Left-arm medium-fast
HR Walsh,443263,Hayden Walsh,United States of America,Hayden Rashidi Walsh,nan,Left-hand bat,Legbreak googly
FE Woolley,22518,Frank Woolley,England,Frank Edward Woolley,nan,Left-hand bat,"Left-arm medium, Slow left-arm orthodox"
SD Anurasiri,48120,Don Anurasiri,Sri Lanka,Sangarange Don Anurasiri,nan,Right-hand bat,Slow left-arm orthodox
R Benaud,4123,Richie Benaud,Australia,Richard Benaud,nan,Right-hand bat,Legbreak googly
NS Dhaliwal,817069,Navneet Dhaliwal,Canada,Navneet Singh Dhaliwal,Middle-order batsman,Right-hand bat,Right-arm medium-fast
Haider Butt,1284532,,,,,,
Hamid Hassan,311427,Hamid Hassan,Afghanistan,Hamid Hassan,Bowler,Right-hand bat,Right-arm fast
Rohan Mustafa,307808,Rohan Mustafa,United Arab Emirates,Rohan Mustafa,Top-order batsman,Left-hand bat,Right-arm offbreak
KLT Arthurton,51110,Keith Arthurton,West Indies,Keith Lloyd Thomas Arthurton,nan,Left-hand bat,Slow left-arm orthodox
SS Iyer,642519,Shreyas Iyer,India,Shreyas Santosh Iyer,Top-order batsman,Right-hand bat,Legbreak googly
CJ Jordan,288992,Chris Jordan,England,Christopher James Jordan,Bowler,Right-hand bat,Right-arm fast-medium
M Kaif,29990,Mohammad Kaif,India,Mohammad Kaif,Batsman,Right-hand bat,Right-arm offbreak
N Dickwella,429754,Niroshan Dickwella,Sri Lanka,Dickwella Patabendige Dilantha Niroshan Dickwella,Wicketkeeper batsman,Left-hand bat,nan
SMH Kirmani,30116,Syed Kirmani,India,Syed Mujtaba Hussein Kirmani,nan,Right-hand bat,Right-arm offbreak
Rahmat Shah,533956,Rahmat Shah,Afghanistan,Rahmat Shah Zurmatai,Allrounder,Right-hand bat,Legbreak googly
R Rampaul,52912,Ravi Rampaul,West Indies,Ravindranath Rampaul,Bowler,Left-hand bat,Right-arm fast-medium
RR Singh,34059,Robin Singh,India,Rabindra Ramanarayan Singh,nan,Left-hand bat,Right-arm medium-fast
BA King,670035,Brandon King,West Indies,Brandon Alexander King,nan,Right-hand bat,nan
Mohammad Nawaz (3),348148,Mohammad Nawaz,Pakistan,Mohammad Nawaz,Allrounder,Left-hand bat,Slow left-arm orthodox
Mohammad Sami,41324,Mohammad Sami,Pakistan,Mohammad Sami,Bowler,Right-hand bat,Right-arm fast
K Bhurtel,794713,Kushal Bhurtel,Nepal,Kushal Bhurtel,nan,Right-hand bat,Right-arm medium
Faheem Ashraf,681117,Faheem Ashraf,Pakistan,Faheem Ashraf,Bowling allrounder,Left-hand bat,Right-arm medium
E Lewis,431901,Evin Lewis,West Indies,Evin Lewis,Opening batsman,Left-hand bat,nan
WD Parnell,265564,Wayne Parnell,South Africa,Wayne Dillon Parnell,Bowler,Left-hand bat,Left-arm medium-fast
Salman Butt,42683,Salman Butt,Pakistan,Salman Butt,Batsman,Left-hand bat,Right-arm offbreak
SA Yadav,446507,Suryakumar Yadav,India,Suryakumar Ashok Yadav,Batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak"
UT Khawaja,215155,Usman Khawaja,Australia,Usman Tariq Khawaja,Top-order batsman,Left-hand bat,Right-arm medium
S Lamichhane,960361,Sandeep Lamichhane,Nepal,Sandeep Lamichhane,Bowler,Right-hand bat,Legbreak googly
Mujeeb Ur Rahman,974109,Mujeeb Ur Rahman,Afghanistan,Mujeeb Ur Rahman,Bowler,Right-hand bat,Right-arm offbreak
NJ O'Brien,24289,Niall O'Brien,Ireland,Niall John O'Brien,Wicketkeeper batsman,Left-hand bat,nan
Rahmanullah Gurbaz,974087,Rahmanullah Gurbaz,Afghanistan,Rahmanullah Gurbaz,Wicketkeeper batsman,Right-hand bat,nan
TT Samaraweera,50424,Thilan Samaraweera,Sri Lanka,Thilan Thusara Samaraweera,Batsman,Right-hand bat,Right-arm offbreak
PM Seelaar,208657,Pieter Seelaar,Netherlands,Pieter Marinus Seelaar,Allrounder,Right-hand bat,Slow left-arm orthodox
L Vincent,38714,Lou Vincent,New Zealand,Lou Vincent,Batsman,Right-hand bat,Right-arm medium
DP Conway,379140,Devon Conway,South Africa,Devon Philip Conway,nan,Left-hand bat,Right-arm medium
Jatinder Singh,307756,Jatinder Singh,Oman,Jatinder Singh,Batsman,Right-hand bat,Right-arm offbreak
DK Lillee,6295,Dennis Lillee,Australia,Dennis Keith Lillee,nan,Right-hand bat,Right-arm fast
Shubman Gill,1070173,Shubman Gill,India,Shubman Gill,Opening batsman,Right-hand bat,Right-arm offbreak
RA Smith,20263,Robin Smith,England,Robin Arnold Smith,nan,Right-hand bat,Legbreak
M Theekshana,1138316,Maheesh Theekshana,Sri Lanka,Morawakage Maheesh Theekshana,nan,Right-hand bat,Right-arm offbreak
RW Chakabva,293831,Regis Chakabva,Zimbabwe,Regis Wiriranai Chakabva,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak
MS Chapman,438563,Mark Chapman,New Zealand,Mark Sinclair Chapman,Allrounder,Left-hand bat,Slow left-arm orthodox
RR Patel,267455,Rakep Patel,Kenya,Rakep Rajendra Patel,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak
A Vala,25056,Assad Vala,Papua New Guinea,Asadollah Vala,Batsman,Left-hand bat,Right-arm offbreak
Wasim Bari,43549,Wasim Bari,Pakistan,Wasim Bari,nan,Right-hand bat,Right-arm bowler
Aasif Sheikh,1058514,Aasif Sheikh,Nepal,Aasif Sheikh,nan,Right-hand bat,Right-arm medium
