text,url,table_index,link_type
"Pakistan in New Zealand ODI Series, 1984/85",https://www.espncricinfo.com/series/pakistan-in-new-zealand-odi-series-1984-85-60848/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Championship of Cricket (in Australia), 1984/85",https://www.espncricinfo.com/series/benson-hedges-world-championship-of-cricket-1984-85-60849/match-schedule-fixtures-and-results,1,series
"Rothmans Four-Nations Cup (Australia, England, India, Pakistan in United Arab Emirates), 1984/85",https://www.espncricinfo.com/series/rothmans-four-nations-cup-1984-85-60851/match-schedule-fixtures-and-results,1,series
"New Zealand in West Indies ODI Series, 1984/85",https://www.espncricinfo.com/series/new-zealand-in-west-indies-odi-series-1984-85-60850/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (Australia in England), 1985",https://www.espncricinfo.com/series/texaco-trophy-1985-60852/match-schedule-fixtures-and-results,1,series
"India in Sri Lanka ODI Series, 1985",https://www.espncricinfo.com/series/india-in-sri-lanka-odi-series-1985-60853/match-schedule-fixtures-and-results,1,series
"Sri Lanka in Pakistan ODI Series, 1985/86",https://www.espncricinfo.com/series/sri-lanka-in-pakistan-odi-series-1985-86-60854/match-schedule-fixtures-and-results,1,series
"Rothmans Sharjah Cup (India, Pakistan, West Indies in United Arab Emirates), 1985/86",https://www.espncricinfo.com/series/rothmans-sharjah-cup-1985-86-60855/match-schedule-fixtures-and-results,1,series
"West Indies in Pakistan ODI Series, 1985/86",https://www.espncricinfo.com/series/west-indies-in-pakistan-odi-series-1985-86-60856/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series Cup (Australia, India, New Zealand in Australia), 1985/86",https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1985-86-60857/match-schedule-fixtures-and-results,1,series
"Pakistan in Sri Lanka ODI Series, 1985/86",https://www.espncricinfo.com/series/pakistan-in-sri-lanka-odi-series-1985-86-60859/match-schedule-fixtures-and-results,1,series
"Australia in New Zealand ODI Series, 1985/86",https://www.espncricinfo.com/series/australia-in-new-zealand-odi-series-1985-86-60860/match-schedule-fixtures-and-results,1,series
"England in West Indies ODI Series, 1985/86",https://www.espncricinfo.com/series/england-in-west-indies-odi-series-1985-86-60858/match-schedule-fixtures-and-results,1,series
"John Player Gold Leaf Trophy (Asia Cup) (Bangladesh, Pakistan, Sri Lanka in Sri Lanka), 1985/86",https://www.espncricinfo.com/series/john-player-gold-leaf-trophy-asia-cup-1985-86-60861/match-schedule-fixtures-and-results,1,series
"John Player Triangular Tournament (New Zealand, Pakistan, Sri Lanka in Sri Lanka), 1985/86",https://www.espncricinfo.com/series/john-player-triangular-tournament-1985-86-60862/match-schedule-fixtures-and-results,1,series
"Austral-Asia Cup (Australia, India, New Zealand, Pakistan, Sri Lanka in United Arab Emirates), 1985/86",https://www.espncricinfo.com/series/austral-asia-cup-1985-86-60863/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (India in England), 1986",https://www.espncricinfo.com/series/texaco-trophy-1986-60864/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (New Zealand in England), 1986",https://www.espncricinfo.com/series/texaco-trophy-1986-60865/match-schedule-fixtures-and-results,1,series
"Australia in India ODI Series, 1986/87",https://www.espncricinfo.com/series/australia-in-india-odi-series-1986-87-60866/match-schedule-fixtures-and-results,1,series
"West Indies in Pakistan ODI Series, 1986/87",https://www.espncricinfo.com/series/west-indies-in-pakistan-odi-series-1986-87-60867/match-schedule-fixtures-and-results,1,series
"Champions Trophy (India, Pakistan, Sri Lanka, West Indies in United Arab Emirates), 1986/87",https://www.espncricinfo.com/series/champions-trophy-1986-87-60868/match-schedule-fixtures-and-results,1,series
"Benson & Hedges Challenge (Australia, England, Pakistan, West Indies in Australia), 1986/87",https://www.espncricinfo.com/series/benson-hedges-challenge-1986-87-60870/match-schedule-fixtures-and-results,1,series
"Sri Lanka in India ODI Series, 1986/87",https://www.espncricinfo.com/series/sri-lanka-in-india-odi-series-1986-87-60869/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series Cup (Australia, England, West Indies in Australia), 1986/87",https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1986-87-60871/match-schedule-fixtures-and-results,1,series
"Pakistan in India ODI Series, 1986/87",https://www.espncricinfo.com/series/pakistan-in-india-odi-series-1986-87-60872/match-schedule-fixtures-and-results,1,series
"West Indies in New Zealand ODI Series, 1986/87",https://www.espncricinfo.com/series/west-indies-in-new-zealand-odi-series-1986-87-60873/match-schedule-fixtures-and-results,1,series
"Sharjah Cup (Australia, England, India, Pakistan in United Arab Emirates), 1986/87",https://www.espncricinfo.com/series/sharjah-cup-1986-87-60874/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (Pakistan in England), 1987",https://www.espncricinfo.com/series/texaco-trophy-1987-60875/match-schedule-fixtures-and-results,1,series
"Reliance World Cup (in India/Pakistan), 1987/88",https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/match-schedule-fixtures-and-results,1,series
"England in Pakistan ODI Series, 1987/88",https://www.espncricinfo.com/series/england-in-pakistan-odi-series-1987-88-60877/match-schedule-fixtures-and-results,1,series
"Indian Board Benevolent Fund Match (West Indies in India), 1987/88",https://www.espncricinfo.com/series/indian-board-benevolent-fund-match-1987-88-60880/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series Cup (Australia, New Zealand, Sri Lanka in Australia), 1987/88",https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1987-88-60879/match-schedule-fixtures-and-results,1,series
"West Indies in India ODI Series, 1987/88",https://www.espncricinfo.com/series/west-indies-in-india-odi-series-1987-88-60878/match-schedule-fixtures-and-results,1,series
"Australian Bicentennial Match (England in Australia), 1987/88",https://www.espncricinfo.com/series/australian-bicentennial-match-1987-88-60881/match-schedule-fixtures-and-results,1,series
